SessionID,date,string,latency (mSec),comment
ID080916m,2014-08-09 16:38:12 +0000,1,481.280583,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:24 +0000,4,365.44625,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:27 +0000,1,414.14175,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:30 +0000,4,400.839917,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:33 +0000,2,415.022708,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:36 +0000,3,364.807708,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:39 +0000,6,449.296708,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:42 +0000,5,381.956208,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:45 +0000,4,349.519792,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:47 +0000,2,398.619458,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:50 +0000,4,379.111167,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:53 +0000,4,432.134,rockland. lobster restaurant
ID080916m,2014-08-09 16:38:59 +0000,5,431.532667,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:02 +0000,6,448.956292,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:09 +0000,3,397.971083,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:11 +0000,3,397.820375,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:14 +0000,2,457.558458,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:20 +0000,1,398.951167,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:23 +0000,2,429.990708,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:26 +0000,6,397.958417,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:29 +0000,1,413.72875,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:32 +0000,5,381.195583,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:35 +0000,2,381.566333,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:38 +0000,4,530.438333,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:41 +0000,6,363.503792,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:44 +0000,5,413.867625,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:46 +0000,1,495.235875,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:49 +0000,5,379.543208,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:52 +0000,5,380.928167,rockland. lobster restaurant
ID080916m,2014-08-09 16:39:58 +0000,5,397.666208,rockland. lobster restaurant
ID080916m,2014-08-09 16:40:01 +0000,6,423.774583,rockland. lobster restaurant
ID080916m,2014-08-09 16:40:04 +0000,5,411.941708,rockland. lobster restaurant
,2014-08-09 16:40:04 +0000,Session,0.507203,rockland. lobster restaurant
ID081010m,2014-08-10 10:01:16 +0000,6,366.834667,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:19 +0000,6,333.140667,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:22 +0000,2,384.325583,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:25 +0000,5,351.214167,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:32 +0000,2,350.730125,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:35 +0000,2,401.157417,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:38 +0000,1,466.217667,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:41 +0000,3,317.461958,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:43 +0000,6,403.665458,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:46 +0000,4,331.867292,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:49 +0000,3,315.533333,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:56 +0000,4,348.316333,sunrise Maine with coffee
ID081010m,2014-08-10 10:01:58 +0000,3,347.4475,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:01 +0000,2,383.126042,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:04 +0000,4,365.054292,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:07 +0000,6,398.597875,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:10 +0000,1,382.31925,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:12 +0000,4,315.793917,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:15 +0000,4,383.100958,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:18 +0000,5,349.884875,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:21 +0000,3,349.366375,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:24 +0000,1,451.216958,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:26 +0000,3,348.738667,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:29 +0000,5,380.986292,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:35 +0000,4,366.31125,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:38 +0000,4,298.128333,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:41 +0000,6,397.378458,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:44 +0000,1,453.046667,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:46 +0000,3,330.370667,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:49 +0000,5,364.795042,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:52 +0000,6,446.65875,sunrise Maine with coffee
ID081010m,2014-08-10 10:02:55 +0000,3,361.833208,sunrise Maine with coffee
,2014-08-10 10:02:55 +0000,Session,0.717747,sunrise Maine with coffee
ID081111m,2014-08-11 11:34:33 +0000,1,397.340125,morning coffee 30min after wake up
